OrderID,OrderDate,CustomerID,CustomerName,City,State,Product,Category,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,PaymentMethod,OrderStatus,Rating,SalesChannel
ORD10001,2025-01-01 00:00:00.000000000,C2045,Customer_1045,Pune,Maharashtra,Office Chair,Furniture,4,12000,0.15,40800.0,34000,6800.0,Credit Card,Delivered,3.0,Marketplace
ORD10002,2025-01-01 00:52:25.274527452,C1770,Customer_770,Bengaluru,Karnataka,Desk,Furniture,2,9000,0.15,15300.0,12400,2900.0,Cash,Returned,2.0,Website
ORD10003,2025-01-01 01:44:50.549054905,C1857,Customer_857,Ahmedabad,Gujarat,Laptop,Electronics,2,55000,0.0,110000.0,84000,26000.0,UPI,Delivered,3.0,Marketplace
ORD10004,2025-01-01 02:37:15.823582358,C1958,Customer_958,Ahmedabad,Gujarat,Shoes,Fashion,4,3500,0.0,14000.0,8400,5600.0,Debit Card,Shipped,4.0,Website
ORD10005,2025-01-01 03:29:41.098109810,C1167,Customer_167,Bengaluru,Karnataka,Keyboard,Electronics,2,1500,0.0,3000.0,1800,1200.0,Credit Card,Shipped,1.0,Mobile App
ORD10006,2025-01-01 04:22:06.372637263,C1092,Customer_92,Lucknow,Uttar Pradesh,Monitor,Electronics,1,15000,0.0,15000.0,11000,4000.0,Cash,Shipped,5.0,Marketplace
ORD10007,2025-01-01 05:14:31.647164716,C2026,Customer_1026,Delhi,Delhi,Keyboard,Electronics,1,1500,0.1,1350.0,900,450.0,Credit Card,Shipped,5.0,Marketplace
ORD10008,2025-01-01 06:06:56.921692169,C1996,Customer_996,Lucknow,Uttar Pradesh,Monitor,Electronics,1,15000,0.05,14250.0,11000,3250.0,Cash,Delivered,5.0,Website
ORD10009,2025-01-01 06:59:22.196219621,C1188,Customer_188,Bengaluru,Karnataka,Monitor,Electronics,1,15000,0.25,11250.0,11000,250.0,Cash,Cancelled,1.0,Website
ORD10010,2025-01-01 07:51:47.470747074,C2153,Customer_1153,Delhi,Delhi,Tablet,Electronics,1,22000,0.05,20900.0,17000,3900.0,Cash,Delivered,3.0,Website
